Period	Abbrev	FullName	StkNum	Group	GroupNum	SEAK	NBC	WCVI	CanGS	CanOther	WAORcst	PgSnd	Term	Esc	Strays	Nyears
a09on	AKS	'Alaska Spring'	1	SEAK	1	0.3096	0.0062	0.0000	0.0000	0.0057	0.0000	0.0000	0.1968	0.4665	0.0153	5
a09on	ATN	'Atnarko River'	2	NBC	2	0.0992	0.0561	0.0000	0.0015	0.0360	0.0000	0.0000	0.2991	0.5072	0.0009	5
a09on	BQR	'Big Qualicum River Fall'	3	GS	4	0.0838	0.0229	0.0375	0.2038	0.0256	0.0064	0.0219	0.0000	0.5863	0.0117	5
a09on	CHI	'Chilliwack River Fall'	4	Fra	5	0.0007	0.0005	0.0521	0.0752	0.0007	0.0484	0.0476	0.0963	0.6742	0.0044	5
a09on	CHK	'Chilkat River'	5	SEAK	1	0.1966	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7989	0.0045	5
a09on	COW	'Cowichan River Fall'	6	GS	4	0.0059	0.0019	0.0915	0.3236	0.0051	0.0208	0.0992	0.0545	0.3550	0.0426	5
a09on	CWF	'Cowlitz Fall Tule'	7	ColR	8	0.0248	0.0121	0.0299	0.0133	0.0007	0.1204	0.0063	0.0551	0.7189	0.0185	4
a09on	ELK	'Elk River'	9	ORcst	9	0.0569	0.0416	0.0310	0.0009	0.0003	0.0628	0.0009	0.2488	0.5567	0.0002	4
a09on	GAD	'George Adams Fall Fingerling'	11	PS	7	0.0009	0.0008	0.0933	0.0373	0.0008	0.0423	0.1476	0.2252	0.4509	0.0011	4
a09on	HAN	'Hanford Wild Brights'	12	ColR	8	0.2018	0.0792	0.0564	0.0031	0.0000	0.0262	0.0013	0.3379	0.2832	0.0109	4
a09on	HAR	'Harrison River'	13	Fra	5	0.0028	0.0019	0.0576	0.0674	0.0010	0.0448	0.0331	0.0190	0.7696	0.0028	5
a09on	HOK	'Hoko Fall Fingerling'	14	WAcst	6	0.1040	0.0798	0.0211	0.0116	0.0000	0.0102	0.0157	0.0000	0.7133	0.0443	4
a09on	KLM	'Kitsumkalum River Summer'	15	NBC	2	0.1513	0.0632	0.0008	0.0033	0.0024	0.0007	0.0000	0.1022	0.6761	0.0000	5
a09on	LRH	'Lower River Hatchery Tule'	16	ColR	8	0.0002	0.0018	0.1323	0.0216	0.0023	0.1918	0.0334	0.2682	0.2999	0.0485	4
a09on	LRW	'Lewis River Wild'	17	ColR	8	0.1407	0.0852	0.1127	0.0028	0.0000	0.0628	0.0000	0.1236	0.4641	0.0080	4
a09on	LYF	'Lyons Ferry'	18	ColR	8	0.0146	0.0088	0.0688	0.0019	0.0018	0.1059	0.0059	0.2255	0.5667	0.0000	4
a09on	LYY	'Lyons Ferry Yearling'	19	ColR	8	0.0064	0.0064	0.0693	0.0030	0.0019	0.1734	0.0097	0.2591	0.4619	0.0088	4
a09on	MSH	'Middle Shuswhap Summer'	20	Fra	5	0.0278	0.0758	0.0074	0.1685	0.0009	0.0109	0.0000	0.1468	0.5423	0.0195	2
a09on	NIC	'Nicola River Spring'	22	Fra	5	0.0006	0.0093	0.0014	0.0471	0.0004	0.0380	0.0062	0.1476	0.7494	0.0000	5
a09on	NIS	'Nisqually Fall Fingerling'	23	PS	7	0.0003	0.0008	0.0584	0.0132	0.0000	0.0466	0.1231	0.3507	0.4069	0.0000	4
a09on	NSF	'Nooksack Spring Fingerling'	25	PS	7	0.0473	0.0021	0.2781	0.1355	0.0072	0.0246	0.0684	0.0253	0.4073	0.0043	4
a09on	PPS	'Puntledge River Summer'	26	GS	4	0.0973	0.0169	0.0188	0.2464	0.0324	0.0000	0.0000	0.0000	0.5882	0.0000	5
a09on	QUE	'Queets Fall Fingerling'	27	WAcst	6	0.3278	0.1283	0.0107	0.0000	0.0003	0.0042	0.0000	0.1792	0.3464	0.0032	4
a09on	QUI	'Quinsam River Fall'	28	GS	4	0.2007	0.0242	0.0030	0.1032	0.0820	0.0000	0.0000	0.0021	0.5828	0.0019	5
a09on	RBT	'Robertson Creek Fall'	29	WCVI	3	0.1755	0.0635	0.0398	0.0470	0.0357	0.0000	0.0017	0.1841	0.4496	0.0031	5
a09on	SAM	'Samish Fall Fingerling'	30	PS	7	0.0012	0.0013	0.0959	0.0760	0.0014	0.0635	0.0929	0.3890	0.2764	0.0023	4
a09on	SHU	'Lower Shuswap River Summer'	31	Fra	5	0.0993	0.1114	0.0188	0.0963	0.0038	0.0054	0.0139	0.1201	0.5218	0.0092	5
a09on	SKF	'Skagit Spring Fingerling'	32	PS	7	0.0028	0.0000	0.0736	0.0676	0.0018	0.0046	0.0576	0.2926	0.4960	0.0035	4
a09on	SKS	'Skagit Spring Yearling'	33	PS	7	0.0048	0.0029	0.0757	0.0488	0.0045	0.0062	0.1183	0.3306	0.4062	0.0022	4
a09on	SKY	'Skykomish Fall Fingerling'	34	PS	7	0.0033	0.0005	0.0621	0.0778	0.0002	0.0173	0.1393	0.0459	0.6517	0.0019	4
a09on	SOO	'Sooes Fall Fingerling'	35	WAcst	6	0.1147	0.0945	0.0310	0.0230	0.0065	0.0306	0.0061	0.0006	0.6903	0.0028	4
a09on	SPR	'Spring Creek Tule'	36	ColR	8	0.0000	0.0000	0.0731	0.0101	0.0007	0.1560	0.0267	0.4272	0.3040	0.0023	4
a09on	SPS	'South Puget Sound Fall Fingerling'	37	PS	7	0.0015	0.0015	0.1098	0.0406	0.0012	0.0448	0.1449	0.0715	0.5831	0.0010	4
a09on	SPY	'South Puget Sound Fall Yearling'	38	PS	7	0.0000	0.0000	0.0670	0.0168	0.0000	0.0385	0.4866	0.2091	0.1751	0.0069	4
a09on	SRH	'Salmon River'	40	ORcst	9	0.1598	0.1102	0.0203	0.0007	0.0000	0.0301	0.0005	0.3161	0.3593	0.0030	4
a09on	SSF	'Skagit Summer Fingerling'	41	PS	7	0.0874	0.0131	0.1007	0.0440	0.0149	0.0061	0.0355	0.1698	0.5028	0.0257	4
a09on	STI	'Stikine River'	42	SEAK	1	0.2135	0.0000	0.0000	0.0000	0.0009	0.0000	0.0000	0.0360	0.7443	0.0052	5
