Stk	Region	Year	model	agency	fc	actual	mod.agency	agency.actual	model.actual	ptcex	sym	kel
AKS	SEAK	1999	11866	NA	11866	12654	NA	NA	0.94	2	21	white
AKS	SEAK	2000	18967	NA	18967	15909	NA	NA	1.19	2	21	white
AKS	SEAK	2001	22130	NA	22130	21226	NA	NA	1.04	2	21	white
AKS	SEAK	2002	15650	NA	15650	19473	NA	NA	0.8	2	21	white
AKS	SEAK	2003	22316	NA	22316	14206	NA	NA	1.57	2	21	white
AKS	SEAK	2004	11880	NA	11880	16420	NA	NA	0.72	2	21	white
AKS	SEAK	2005	25204	NA	25204	16102	NA	NA	1.57	2	21	white
AKS	SEAK	2006	17966	NA	17966	20866	NA	NA	0.86	2	21	white
AKS	SEAK	2007	25653	NA	25653	15095	NA	NA	1.7	2	21	white
AKS	SEAK	2008	14626	NA	14626	13865	NA	NA	1.05	2	21	white
AKS	SEAK	2009	14362	NA	14362	11296	NA	NA	1.27	2	21	white
AKS	SEAK	2010	16445	NA	16445	16194	NA	NA	1.02	2	21	white
AKS	SEAK	2011	17065	NA	17065	11938	NA	NA	1.43	2	21	white
AKS	SEAK	2012	12557	NA	12557	6784	NA	NA	1.85	2	21	white
AKS	SEAK	2013	4838	NA	4838	8175	NA	NA	0.59	2	21	white
NTH	NBC	1999	149593	NA	149593	150775	NA	NA	0.99	4	21	white
NTH	NBC	2000	159818	NA	159818	185147	NA	NA	0.86	4	21	white
NTH	NBC	2001	189088	NA	189088	228774	NA	NA	0.83	4	21	white
NTH	NBC	2002	228073	NA	228073	136625	NA	NA	1.67	4	21	white
NTH	NBC	2003	154103	NA	154103	166568	NA	NA	0.93	4	21	white
NTH	NBC	2004	171070	NA	171070	152207	NA	NA	1.12	4	21	white
NTH	NBC	2005	154552	NA	154552	127075	NA	NA	1.22	4	21	white
NTH	NBC	2006	132710	NA	132710	151812	NA	NA	0.87	4	21	white
NTH	NBC	2007	156017	NA	156017	123565	NA	NA	1.26	4	21	white
NTH	NBC	2008	131262	NA	131262	105806	NA	NA	1.24	4	21	white
NTH	NBC	2009	119761	NA	119761	126605	NA	NA	0.95	4	21	white
NTH	NBC	2010	136998	NA	136998	113361	NA	NA	1.21	4	21	white
NTH	NBC	2011	119323	NA	119323	95175	NA	NA	1.25	4	21	white
NTH	NBC	2012	98010	NA	98010	78714	NA	NA	1.25	4	21	white
NTH	NBC	2013	86819	NA	86819	99874	NA	NA	0.87	4	21	white
RBH_RBT	WCVI	1999	78074	68400	68400	98400	1.14	0.7	0.79	4	21	black
RBH_RBT	WCVI	2000	21040	15040	15040	37090	1.4	0.41	0.57	4	21	black
RBH_RBT	WCVI	2001	33702	30633	30633	86787	1.1	0.35	0.39	4	21	black
RBH_RBT	WCVI	2002	128068	109882	109882	109882	1.17	1	1.17	4	21	black
RBH_RBT	WCVI	2003	111430	105801	105801	215345	1.05	0.49	0.52	4	21	black
RBH_RBT	WCVI	2004	166548	144180	144180	247500	1.16	0.58	0.67	4	21	black
RBH_RBT	WCVI	2005	244768	218840	218840	154594	1.12	1.42	1.58	4	21	black
RBH_RBT	WCVI	2006	152483	138878	138878	197097	1.1	0.7	0.77	4	21	black
RBH_RBT	WCVI	2007	151925	117321	117321	118082	1.29	0.99	1.29	4	21	black
RBH_RBT	WCVI	2008	67347	60255	60255	98744	1.12	0.61	0.68	4	21	black
RBH_RBT	WCVI	2009	76063	58382	58382	88429	1.3	0.66	0.86	4	21	black
RBH_RBT	WCVI	2010	75748	61586	61586	92534	1.23	0.67	0.82	4	21	black
RBH_RBT	WCVI	2011	98929	74708	74708	161914	1.32	0.46	0.61	4	21	black
RBH_RBT	WCVI	2012	70838	54765	54765	84432	1.29	0.65	0.84	4	21	black
