IndicatorAcronym	ModelStockAbbrev	CWTIndicatorName	ModCWT	JuvenileLifeHistory	AdultRunTiming	GeographicLocation	BroodYear	OceanEntryYear	FirstMatureAGe	FinalMatureAge	CompleteBY	OldestAgeinCohort	N_Ages_Missing	Age2COHSR	TM_OcnER	TM_TermHR	TM_TotalER	stkyr	mod.ER	mod.ocnER
AKS	AKS	'Alaska Spring'	AKS.AKS	streamtype	Spring	SEAK	1976	1978	3	6	Y	6	0	0.2554101	0.622833	0.669486	0.8753411	AKS1976	0.48194416	0.467028466
AKS	AKS	'Alaska Spring'	AKS.AKS	streamtype	Spring	SEAK	1977	1979	3	6	Y	6	0	0.02432839	0.5220818	0.2096615	0.6222829	AKS1977	0.479556177	0.463961209
AKS	AKS	'Alaska Spring'	AKS.AKS	streamtype	Spring	SEAK	1978	1980	3	6	Y	6	0	0.06905931	0.5003135	0.1306387	0.5655919	AKS1978	0.531917804	0.521352617
AKS	AKS	'Alaska Spring'	AKS.AKS	streamtype	Spring	SEAK	1979	1981	3	6	Y	6	0	0.1860081	0.3970767	0.05727362	0.4316083	AKS1979	0.386701156	0.372976263
AKS	AKS	'Alaska Spring'	AKS.AKS	streamtype	Spring	SEAK	1980	1982	3	6	Y	6	0	0.1475575	0.3969162	0.05732391	0.4314874	AKS1980	0.378210358	0.347295283
AKS	AKS	'Alaska Spring'	AKS.AKS	streamtype	Spring	SEAK	1981	1983	3	6	Y	6	0	0.171047	0.4288818	0.1323816	0.5044873	AKS1981	0.334914745	0.310324581
AKS	AKS	'Alaska Spring'	AKS.AKS	streamtype	Spring	SEAK	1982	1984	3	6	Y	6	0	0.2339052	0.5239199	0.1805303	0.6098668	AKS1982	0.365872598	0.35294707
AKS	AKS	'Alaska Spring'	AKS.AKS	streamtype	Spring	SEAK	1983	1985	3	6	Y	6	0	0.1532942	0.4178823	0.153149	0.5070331	AKS1983	0.331848284	0.310806743
AKS	AKS	'Alaska Spring'	AKS.AKS	streamtype	Spring	SEAK	1984	1986	3	6	Y	6	0	0.1041681	0.4567193	0.1832653	0.5562838	AKS1984	0.35097228	0.326313612
AKS	AKS	'Alaska Spring'	AKS.AKS	streamtype	Spring	SEAK	1985	1987	3	6	Y	6	0	0.05825923	0.4368443	0.1902942	0.5440096	AKS1985	0.36840083	0.354491662
AKS	AKS	'Alaska Spring'	AKS.AKS	streamtype	Spring	SEAK	1986	1988	3	6	Y	6	0	0.125112	0.6055596	0.3247234	0.7336436	AKS1986	0.411435041	0.390602887
AKS	AKS	'Alaska Spring'	AKS.AKS	streamtype	Spring	SEAK	1987	1989	3	6	Y	6	0	0.06283178	0.458355	0.2257004	0.5806045	AKS1987	0.409943078	0.363465455
AKS	AKS	'Alaska Spring'	AKS.AKS	streamtype	Spring	SEAK	1988	1990	3	6	Y	6	0	0.04465646	0.5795776	0.209454	0.6676368	AKS1988	0.395167785	0.37557047
AKS	AKS	'Alaska Spring'	AKS.AKS	streamtype	Spring	SEAK	1989	1991	3	6	Y	6	0	0.03246916	0.4464162	0.217377	0.5667526	AKS1989	0.380273121	0.345051379
AKS	AKS	'Alaska Spring'	AKS.AKS	streamtype	Spring	SEAK	1990	1992	3	6	Y	6	0	0.0417969	0.5201088	0.4048082	0.7143726	AKS1990	0.435102199	0.409181765
AKS	AKS	'Alaska Spring'	AKS.AKS	streamtype	Spring	SEAK	1991	1993	3	6	Y	6	0	0.05212246	0.5200856	0.3599575	0.6928344	AKS1991	0.427380248	0.418746304
AKS	AKS	'Alaska Spring'	AKS.AKS	streamtype	Spring	SEAK	1992	1994	3	6	Y	6	0	0.04621797	0.4830766	0.4424991	0.7118148	AKS1992	0.44498228	0.433572478
AKS	AKS	'Alaska Spring'	AKS.AKS	streamtype	Spring	SEAK	1993	1995	3	6	Y	6	0	0.03011145	0.5145201	0.4622846	0.73895	AKS1993	0.463941654	0.453056115
AKS	AKS	'Alaska Spring'	AKS.AKS	streamtype	Spring	SEAK	1994	1996	3	6	Y	6	0	0.05036007	0.3930791	0.2920914	0.5703555	AKS1994	0.395836793	0.383934009
AKS	AKS	'Alaska Spring'	AKS.AKS	streamtype	Spring	SEAK	1995	1997	3	6	Y	6	0	0.04445272	0.4008723	0.2593862	0.5562777	AKS1995	0.302577074	0.291836211
AKS	AKS	'Alaska Spring'	AKS.AKS	streamtype	Spring	SEAK	1996	1998	3	6	Y	6	0	0.100645	0.3395104	0.2196816	0.4846078	AKS1996	0.287048381	0.273979689
AKS	AKS	'Alaska Spring'	AKS.AKS	streamtype	Spring	SEAK	1997	1999	3	6	Y	6	0	0.03694993	0.2779919	0.1299926	0.3718476	AKS1997	0.275698925	0.263924731
AKS	AKS	'Alaska Spring'	AKS.AKS	streamtype	Spring	SEAK	1998	2000	3	6	Y	6	0	0.05923241	0.2942769	0.1487804	0.3992746	AKS1998	0.293555037	0.278380479
AKS	AKS	'Alaska Spring'	AKS.AKS	streamtype	Spring	SEAK	1999	2001	3	6	Y	6	0	0.06803773	0.2616788	0.1746318	0.3906131	AKS1999	0.341780594	0.318172724
AKS	AKS	'Alaska Spring'	AKS.AKS	streamtype	Spring	SEAK	2000	2002	3	6	Y	6	0	0.07472598	0.3614543	0.2451533	0.5179959	AKS2000	0.318662621	0.308340187
AKS	AKS	'Alaska Spring'	AKS.AKS	streamtype	Spring	SEAK	2001	2003	3	6	Y	6	0	0.08532412	0.482459	0.2976946	0.6365283	AKS2001	0.425275468	0.408767254
AKS	AKS	'Alaska Spring'	AKS.AKS	streamtype	Spring	SEAK	2002	2004	3	6	Y	6	0	0.07947117	0.4453081	0.3206888	0.6231915	AKS2002	0.479526543	0.458762235
AKS	AKS	'Alaska Spring'	AKS.AKS	streamtype	Spring	SEAK	2003	2005	3	6	Y	6	0	0.1024305	0.3361551	0.2573559	0.5069995	AKS2003	0.383059282	0.372728256
AKS	AKS	'Alaska Spring'	AKS.AKS	streamtype	Spring	SEAK	2004	2006	3	6	Y	6	0	0.06710218	0.2783635	0.1784702	0.4071541	AKS2004	0.347128522	0.331651454
AKS	AKS	'Alaska Spring'	AKS.AKS	streamtype	Spring	SEAK	2005	2007	3	6	Y	6	0	0.0613195	0.3054873	0.2111399	0.4521267	AKS2005	0.32062414	0.314907153
AKS	AKS	'Alaska Spring'	AKS.AKS	streamtype	Spring	SEAK	2006	2008	3	6	N	5	1	0.0418582	0.2634516	0.1860336	0.4004744	AKS2006	0.332276863	0.320519374
AKS	AKS	'Alaska Spring'	AKS.AKS	streamtype	Spring	SEAK	2007	2009	3	6	N	4	2	0.04946677	0.3386124	0.1795232	0.4573468	AKS2007	NA	NA
AKS	AKS	'Alaska Spring'	AKS.AKS	streamtype	Spring	SEAK	2008	2010	3	6	N	3	3	0.0673359	NA	NA	NA	AKS2008	NA	NA
CWF	CWF	'Cowlitz Fall Tule'	CWF.CWF	oceantype	Fall	LCOLR	1977	1978	2	5	Y	5	0	0.01106378	0.6308594	0.3925969	0.7757828	CWF1977	0.737571352	0.62432674
CWF	CWF	'Cowlitz Fall Tule'	CWF.CWF	oceantype	Fall	LCOLR	1978	1979	2	5	Y	5	0	0.00821306	0.6152844	0.2439962	0.7091535	CWF1978	0.713504896	0.587877802
CWF	CWF	'Cowlitz Fall Tule'	CWF.CWF	oceantype	Fall	LCOLR	1979	1980	2	5	Y	5	0	0.00443041	0.6187451	0.2761471	0.7240275	CWF1979	0.672477028	0.568187133
CWF	CWF	'Cowlitz Fall Tule'	CWF.CWF	oceantype	Fall	LCOLR	1980	1981	2	5	Y	5	0	0.01301847	0.5025777	0.2557501	0.6297935	CWF1980	0.641426402	0.54219941
CWF	CWF	'Cowlitz Fall Tule'	CWF.CWF	oceantype	Fall	LCOLR	1981	1982	2	5	Y	5	0	0.00660823	0.4224642	0.2414753	0.5619249	CWF1981	0.58107025	0.486514304
CWF	CWF	'Cowlitz Fall Tule'	CWF.CWF	oceantype	Fall	LCOLR	1982	1983	2	5	Y	5	0	0.00940086	0.4540935	0.4748819	0.7133347	CWF1982	0.602350086	0.448528976
CWF	CWF	'Cowlitz Fall Tule'	CWF.CWF	oceantype	Fall	LCOLR	1983	1984	2	5	Y	5	0	0.02767563	0.3837357	0.5848395	0.7441515	CWF1983	0.65927752	0.355364086
CWF	CWF	'Cowlitz Fall Tule'	CWF.CWF	oceantype	Fall	LCOLR	1984	1985	2	5	Y	5	0	0.03603216	0.4048938	0.5078982	0.7071472	CWF1984	0.705607929	0.458803513
CWF	CWF	'Cowlitz Fall Tule'	CWF.CWF	oceantype	Fall	LCOLR	1985	1986	2	5	Y	5	0	0.00750494	0.5102116	0.4596784	0.7353568	CWF1985	0.669027823	0.515722787
CWF	CWF	'Cowlitz Fall Tule'	CWF.CWF	oceantype	Fall	LCOLR	1986	1987	2	5	Y	5	0	0.00479059	0.419544	0.172422	0.5196273	CWF1986	0.634539313	0.512500556
CWF	CWF	'Cowlitz Fall Tule'	CWF.CWF	oceantype	Fall	LCOLR	1987	1988	2	5	Y	5	0	0.00142404	0.366275	0.1498018	0.4612081	CWF1987	0.581204299	0.499777969
CWF	CWF	'Cowlitz Fall Tule'	CWF.CWF	oceantype	Fall	LCOLR	1988	1989	2	5	Y	5	0	0.00351201	0.4951411	0.06993281	0.5304474	CWF1988	0.590654735	0.527030025
CWF	CWF	'Cowlitz Fall Tule'	CWF.CWF	oceantype	Fall	LCOLR	1989	1990	2	5	Y	5	0	0.0025916	0.6401502	0.1723828	0.7021821	CWF1989	0.576544467	0.511252546
CWF	CWF	'Cowlitz Fall Tule'	CWF.CWF	oceantype	Fall	LCOLR	1990	1991	2	5	Y	5	0	0.00539028	0.236697	0.210409	0.3973028	CWF1990	0.438439125	0.369174808
CWF	CWF	'Cowlitz Fall Tule'	CWF.CWF	oceantype	Fall	LCOLR	1991	1992	2	5	Y	5	0	0.00212793	0.1122234	0.04026069	0.1479659	CWF1991	0.259203571	0.215341243
